,,Red,,Green,,White,,Brown,,Yellow,,Consults,,,,,,Consult Reason,,,,,,,
,,Total,New,Total,New,Total,New,Total,New,Total,New,Total Billed,New,Peripheral,# procedures,Tx Accepted,Service,Service,Reason,Service,Reason,Service,Reason,Total academic,total new
Sunday,7/1/2018,13,6,11,2,,,5,,7,0,3,1,1,,,,ortho-HTN,,,,,,36,8
Monday,7/2/2018,12,0,11,0,,,15,,8,4,5,2,1,,,,,ortho pre op,ortho-pre op,,,,46,4
Tuesday,7/3/2018,11,0,13,4,,,16,,14,6,8,6,,,1,cards,ortho- pre op,ortho pre op,psych- HTN,neuro-tachycardia,urology- hypoxia ,"cards- IE, tx to med",54,10
Wednesday,7/4/2018,9,0,15,6,,,9,,14,4,3,2,,,,,NSGY- anemia,ortho pre op,,,,,47,10
Thursday,7/5/2018,9,4,10,0,,,6,,9,0,6,5,2,,1,neuro,ACS,htn urgency,Neuro- tx to medicine,,ACS- tx to medicine,Trauma- HTN,34,4
Friday,7/6/2018,16,3,5,0,,,3,,5,0,5,3,3,,,,psych- neutropenia,psych- DM,,,,,29,3
Saturday,7/7/2018,14,1,4,0,,,12,,9,5,3,1,5,,2,ACS,ortho- pre op,,,,,,39,6
Sunday,7/8/2018,13,2,4,2,,,11,,14,5,4,4,4,,1,neuro,red,rapid,psych- anemia,neuro- tx to medicine,ortho- HTN,,42,9
Monday,7/9/2018,13,0,12,8,,,11,,11,0,4,,,,,,,,,,,,47,8
Tuesday,7/10/2018,12,1,11,5,,,9,,10,1,5,2,,,,,,,,,,,42,7
Wednesday,7/11/2018,13,3,8,0,,,9,,10,0,5,1,,,,,,,,,,,40,3
Thursday,7/12/2018,13,4,4,0,,,12,,9,2,4,1,,,,,,,,,,,38,6
Friday,7/13/2018,9,0,4,0,,,11,,15,7,6,2,,,,,,,,,,,39,7
Saturday,7/14/2018,5,0,13,10,,,10,,15,4,3,2,,,,,,,,,,,43,14
Sunday,7/15/2018,5,1,11,4,,,8,,15,2,4,1,,,,,,,,,,,39,7
Monday,7/16/2018,14,10,,,16,3,8,2,10,0,6,2,2,,0,,gen surgery,pre-op,urology,,,,48,15
Tuesday,7/17/2018,11,4,,,12,0,16,9,8,0,5,2,1,,0,,ortho,medical co-management,ED,,,,47,13
Wednesday,7/18/2018,,,,,9,0,15,2,15,10,8,3,1,,1,gen surg,gen surg,xfer of care,psych,xfer care,psych,hyperthyroidism,39,12
Thursday,7/19/2018,9,2,,,14,5,16,6,18,6,6,4,2,,0,,neuro,dmii,ortho,med manage,gen surg,xfer care,57,19
Friday,7/20/2018,7,0,,,15,2,13,0,14,0,5,4,1,,2,ortho,ortho,dka,ed,refeeding,psych,lfts,49,2
Saturday,7/21/2018,5,0,,,12,4,11,3,6,0,3,3,1,,3,cards,cards,xfer,cards,xfer,neuro,xfer,34,7
Sunday,7/22/2018,13,9,,,16,6,13,7,9,4,2,2,1,,0,,vascular,htn,trauma,,,,51,26
Monday,7/23/2018,16,4,,,14,0,15,6,14,6,1,0,1,,0,,,,,,,,59,16
Tuesday,7/24/2018,16,2,,,15,4,15,4,16,3,4,3,0,,1,Cards,Cardiology,transfer for Pulm HTN,Trauma,Transer for AHRF,Ortho,Bradycardia,62,13
Wednesday,7/25/2018,13,0,,,16,5,12,1,6,0,2,1,0,,0,,NSGY,preop,,,,,47,6
Thursday,7/26/2018,11,0,,,16,4,8,1,5,0,2,1,1,,1,Psych,Psych,tranfer for sickle cell,,,,,40,5
Friday,7/27/2018,15,4,,,9,0,15,8,6,2,2,1,1,,1,Urology,Urology,transfer for comorbidities,,,,,45,14
Saturday,7/28/2018,14,6,,,,,13,5,11,7,3,3,3,,1,Trauma,Trauma,transfer for hypocalcemia,Psych,hyponatremia,Psych,sickle cell,38,18
Sunday,7/29/2018,13,0,,,,,16,3,13,4,4,3,3,,0,,Ortho,HTN,NSGY,preop,Psych,urinary retention,42,7
Monday,7/30/2018,12,0,16,1,,,14,0,14,3,7,4,3,,1,trauma,trauma,fall/transfer,trauma,"fall, anemia, esrd",psych,htn,56,4
Tuesday,7/31/2018,16,4,13,0,,,11,0,12,0,4,4,3,,0,,psych,dm2- pt dc'd before I saw,ortho,pre-op,ortho spine,med management,52,4
Wednesday,8/1/2018,16,4,10,0,,,16,7,13,1,8,7,2,,0,,ortho,"htn, pre-op",ortho,pre-op,ent,pneumonia,55,12
Thursday,8/2/2018,14,2,10,1,,,14,4,16,8,3,2,6,,1,psych,psych,priapism/sickle cell,neurosurgery,"fever, leukocytosis",,,54,15
Friday,8/3/2018,10,0,15,8,,,16,4,16,5,5,2,0,,,,ortho trauma,copd,ortho spine,leukocytosis,,,57,17
Saturday,8/4/2018,,,16,4,,,11,0,16,4,,,,,,,,,,,,,43,8
Sunday,8/5/2018,,,14,1,,,11,0,11,0,,,,,,,,,,,,,36,1
Monday,8/6/2018,15,1,12,0,,,16,7,10,6,9,7,1,,0,,,,,,,,53,14
Tuesday,8/7/2018,12,0,5,0,,,12,3,16,3,10,3,1,,2,thoracic/urology,,,,,,,45,6
Wednesday,8/8/2018,10,0,12,8,,,9,2,16,3,7,2,2,,1,,acs ,comanage,,,,,47,13
Thursday,8/9/2018,6,0,16,4,,,7,0,10,0,5,2,2,,0,,ortho,pre-op,ortho,preop,,,39,4
Friday,8/10/2018,15,10,13,0,,,4,1,10,1,7,3,1,,0,,acs ,hypotension,trauma,med mangage,ortho spine,med manage,42,12
Saturday,8/11/2018,15,5,7,0,,,13,10,10,4,4,2,3,,1,trauma,nsgy,tachycardia,CDU,pneumonia,,,45,19
Sunday,8/12/2018,16,2,8,2,,,16,5,15,8,1,0,3,,,,,,,,,,55,17
Monday,8/13/2018,13,0,15,7,13,0,14,2,16,4,6,4,4,,0,,Ortho,Anemia ,NSGY,Preop,Neuro,Alcohol withdrawal,71,13
Tuesday,8/14/2018,11,0,15,3,15,6,11,0,16,2,5,2,4,,1,CTS,Psych,eleveted LFTs,CTS,osteomyelitis,,,68,11
Wednesday,8/15/2018,17,9,15,3,15,4,11,0,10,0,4,1,3,,0,,Ortho spine,spinal osteo,,,,,68,16
Thursday,8/16/2018,15,5,11,0,14,5,16,5,10,0,3,1,3,,0,,pysch,otitis media,,,,,66,15
Friday,8/17/2018,14,4,9,2,10,0,16,2,13,6,3,1,2,,1,Trauma,trauma,bacteremia and AMS,,,,,62,14
