,,Red,,Consults,Green,,Consults,White,,Consults,Brown,,Consults,Yellow,,Consults,,,
,,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,total census,total new,total consults
Monday,7/1/2019,12,5,0,15,1,1,,,,10,2,1,15,0,3,52,8,5
Tuesday,7/2/2019,13,5,0,14,2,3,,,,15,6,3,11,1,2,53,14,8
Wednesday,7/3/2019,9,0,1,10,3,2,,,,13,4,2,18,5,3,50,12,8
Thursday,7/4/2019,7,0,1,11,6,1,,,,11,2,1,15,4,5,44,12,8
Friday,7/5/2019,8,2,1,10,4,0,,,,9,1,0,16,3,3,43,10,4
Saturday,7/6/2019,13,4,1,9,2,0,,,,11,4,2,12,0,2,45,10,5
Sunday,7/7/2019,11,4,1,6,0,0,,,,14,7,1,11,1,2,42,12,4
Monday,7/8/2019,9,0,1,9,3,0,,,,13,,2,16,5,2,47,8,5
Tuesday,7/9/2019,7,2,1,13,8,0,15,3,0,16,5,1,19,5,2,70,23,4
Wednesday,7/10/2019,8,3,1,13,5,0,15,4,0,13,0,1,18,0,1,67,12,3
Thursday,7/11/2019,10,5,0,11,4,1,13,2,0,11,2,1,16,1,1,61,14,3
Friday,7/12/2019,11,4,0,8,0,0,11,2,0,16,4,1,13,0,1,59,10,2
Saturday,7/13/2019,14,4,0,6,3,0,7,0,1,9,4,,16,3,1,52,14,2
Sunday,7/14/2019,11,0,0,9,5,0,8,4,0,,,,16,3,1,44,12,1
Monday,7/15/2019,11,1,1,13,5,3,13,5,0,,,,14,0,1,51,11,5
Tuesday,7/16/2019,12,5,0,14,4,3,17,4,1,16,2,2,13,0,2,72,15,8
Wednesday,7/17/2019,13,4,0,7,0,0,16,3,0,,,,11,1,1,47,8,1
Thursday,7/18/2019,11,3,1,7,3,1,13,0,0,,,,13,4,0,44,10,2
Friday,7/19/2019,7,0,0,10,5,0,10,3,0,,,,15,3,1,42,11,1
Saturday,7/20/2019,11,3,2,10,4,0,14,4,0,,,,9,0,2,44,11,4
Sunday,7/21/2019,16,5,0,6,0,0,15,5,1,13,0,3,8,0,2,58,10,6
Monday,7/22/2019,16,2,0,6,0,1,14,2,3,16,2,4,11,3,1,63,9,9
Tuesday,7/23/2019,13,0,1,8,3,1,11,0,3,14,4,0,15,6,2,61,13,7
Wednesday,7/24/2019,11,0,1,14,6,1,6,0,1,12,1,1,16,2,2,59,9,6
Thursday,7/25/2019,10,1,1,9,4,1,10,7,0,7,1,1,12,0,2,48,13,5
Friday,7/26/2019,16,9,2,9,0,0,13,5,1,12,9,0,9,0,2,59,23,5
Saturday,7/27/2019,12,4,0,7,0,0,14,5,0,11,1,0,12,8,2,56,18,2
Sunday,7/28/2019,10,4,0,10,3,1,15,1,0,13,4,0,11,2,0,59,14,1
Monday,7/29/2019,7,0,0,,,,15,3,1,11,0,0,8,1,0,41,4,1
Tuesday,7/30/2019,10,5,0,13,4,0,14,0,0,8,0,0,11,4,1,56,13,1
Wednesday,7/31/2019,11,5,1,15,4,0,15,4,0,12,6,0,11,1,3,64,20,4
Thursday,8/1/2019,15,4,1,10,0,0,14,4,0,10,3,0,11,3,3,60,14,4
Friday,8/2/2019,15,3,1,10,1,0,13,1,0,14,7,3,15,4,3,67,16,7
Saturday,8/3/2019,9,0,1,13,5,0,10,3,1,11,0,3,13,4,2,56,12,7
Sunday,8/4/2019,8,0,0,16,4,1,16,8,1,8,1,3,10,0,2,58,13,7
Monday,8/5/2019,14,6,0,15,0,0,15,3,0,11,3,1,9,0,2,64,12,3
Tuesday,8/6/2019,15,4,0,11,1,1,13,0,,14,4,0,7,0,2,60,9,3
Wednesday,8/7/2019,13,2,1,13,1,1,10,0,,11,3,0,11,8,1,58,14,3
Thursday,8/8/2019,12,0,0,10,4,0,13,4,,6,0,0,9,4,1,50,12,1
Friday,8/9/2019,9,0,0,13,4,1,,,,,,0,9,2,1,31,6,2
Saturday,8/10/2019,10,6,1,13,2,1,16,4,1,,,,8,0,2,47,12,5
Sunday,8/11/2019,12,4,0,10,0,0,11,0,0,,,,9,2,1,42,6,1
Monday,8/12/2019,11,0,1,10,1,0,10,2,1,,,,12,6,1,43,9,3
Tuesday,8/13/2019,7,0,1,16,7,0,11,3,1,,,,14,4,0,48,14,2
Wednesday,8/14/2019,6,2,0,15,3,1,14,5,0,,,,13,2,0,48,12,1
