1,,Red,,Consults,Green,,Consults,White,,Consults,Brown,,Consults,Yellow,,Consults,,,
,,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,total census,total new,total consults
Wednesday,7/1/2020,18,3,3,14,3,0,13,,1,,,,,,,45,6,4
Thursday,7/2/2020,15,3,1,13,1,0,13,2,1,,,,,,,41,6,2
Friday,7/3/2020,14,5,0,16,3,0,16,,1,,,,,,,46,8,1
Saturday,7/4/2020,12,2,0,16,5,0,15,,,,,,,,,43,7,0
Sunday,7/5/2020,16,7,0,17,3,1,15,,,,,,,,,48,10,1
Monday,7/6/2020,17,4,0,17,,1,15,,2,,,,,,,49,4,3
Tuesday,7/7/2020,17,4,1,18,3,2,14,2,0,,,,,,,49,9,3
Wednesday,7/8/2020,14,4,1,18,3,3,15,2,0,,,,,,,47,9,4
Thursday,7/9/2020,16,3,3,17,4,1,15,4,2,,,,,,,48,11,6
Friday,7/10/2020,15,4,2,13,2,0,10,0,4,,,,,,,38,6,6
Saturday,7/11/2020,14,2,2,12,2,0,16,10,1,,,,,,,42,14,3
Sunday,7/12/2020,12,0,2,13,3,1,16,2,1,,,,,,,41,5,4
Monday,7/13/2020,16,8,2,12,1,1,13,0,2,,,,,,,41,9,5
Tuesday,7/14/2020,14,4,0,15,2,1,13,1,1,,,,,,,42,7,2
Wednesday,7/15/2020,17,4,1,12,1,1,11,2,0,,,,,,,40,7,2
Thursday,7/16/2020,12,0,1,10,1,1,16,7,0,,,,,,,38,8,2
Friday,7/17/2020,10,2,0,14,2,1,12,3,0,,,,,,,36,7,1
Saturday,7/18/2020,15,6,0,12,3,0,15,2,3,,,,,,,42,11,3
Sunday,7/19/2020,15,3,0,15,3,0,17,8,1,,,,,,,47,14,1
Monday,7/20/2020,15,3,0,17,3,0,19,1,4,,,,,,,51,7,4
Tuesday,7/21/2020,16,7,2,15,2,2,19,2,3,,,,,,,50,11,7
Wednesday,7/22/2020,18,3,2,14,2,2,16,2,0,,,,,,,48,7,4
Thursday,7/23/2020,17,2,0,13,0,1,17,2,0,,,,,,,47,4,1
Friday,7/24/2020,13,0,0,12,0,0,17,4,1,,,,,,,42,4,1
Saturday,7/25/2020,14,4,0,,,0,13,0,0,,,,,,,27,4,0
Sunday,7/26/2020,16,6,0,,,,16,2,2,,,,,,,32,8,2
Monday,7/27/2020,16,4,0,,,,16,1,1,,,,,,,32,5,1
Tuesday,7/28/2020,13,1,0,,,,16,3,0,,,,16,4,2,45,8,2
Wednesday,7/29/2020,16,4,0,,,,16,4,0,,,,11,0,0,43,8,0
Thursday,7/30/2020,13,0,0,,,,12,2,,,,,8,0,0,33,2,0
Friday,7/31/2020,13,5,0,,,,12,2,,,,,14,5,0,39,12,0
Saturday,8/1/2020,12,3,0,,,,13,,,,,,12,1,0,37,4,0
Sunday,8/2/2020,13,3,1,,,,9,2,,,,,12,2,0,34,7,1
Monday,8/3/2020,16,3,1,,,,10,1,,,,,13,2,0,39,6,1
Tuesday,8/4/2020,,,,17,3,1,16,7,0,,,,12,2,1,45,12,2
Wednesday,8/5/2020,,,,16,3,0,18,4,2,,,,16,9,1,50,16,3
Thursday,8/6/2020,,,,14,3,0,17,3,2,,,,13,1,0,44,7,2
Friday,8/7/2020,,,,16,6,0,13,4,1,,,,14,4,0,43,14,1
Saturday,8/8/2020,,,,14,3,0,11,1,0,,,,16,6,0,41,10,0
Sunday,8/9/2020,,,,14,4,0,14,7,0,,,,15,1,0,43,12,0
Monday,8/10/2020,,,,16,4,0,16,4,0,,,,17,3,1,49,11,1
Tuesday,8/11/2020,,,,16,4,0,,,,,,,16,3,0,32,7,0
Wednesday,8/12/2020,,,,17,5,0,,,,,,,16,2,1,33,7,1
Thursday,8/13/2020,,,,12,4,0,,,,,,,17,3,1,29,7,1
Friday,8/14/2020,,,,12,1,0,,,,,,,15,0,3,27,1,3
Saturday,8/15/2020,,,,15,7,0,,,,,,,11,1,3,26,8,3
Sunday,8/16/2020,,,,13,0,0,,,,,,,14,5,2,27,5,2
Monday,8/17/2020,,,,14,1,1,16,1,1,,,,13,3,0,43,5,2
Tuesday,8/18/2020,15,2,2,17,4,1,17,2,,,,,16,5,0,65,13,3
Wednesday,8/19/2020,14,5,1,14,2,1,16,1,1,,,,13,1,1,57,9,4
Thursday,8/20/2020,13,3,1,17,5,1,15,2,1,,,,9,0,0,54,10,3
Friday,8/21/2020,13,4,1,13,2,1,14,1,0,,,,14,6,2,54,13,4
Saturday,8/22/2020,13,4,0,8,1,2,1,2,0,,,,12,1,0,34,8,2
Sunday,8/23/2020,15,3,0,14,7,1,13,1,0,,,,13,3,0,55,14,1
Monday,8/24/2020,13,4,0,12,2,0,15,2,,,,,15,3,0,55,11,0
Tuesday,8/25/2020,15,4,0,13,4,1,13,4,,,,,16,3,2,57,15,3
Wednesday,8/26/2020,10,1,0,15,,1,15,4,1,,,,16,3,2,56,8,4
Thursday,8/27/2020,13,4,0,13,,,13,4,,,,,14,0,2,53,8,2
Friday,8/28/2020,13,4,0,,,1,14,4,2,,,,16,4,2,43,12,5
Saturday,8/29/2020,8,2,,,,,13,,1,,,,15,3,2,36,5,3
Sunday,8/30/2020,13,5,,11,,1,,,,,,,15,1,2,39,6,3
Monday,8/31/2020,,,,10,2,2,,,,,,,14,0,1,24,2,3
Tuesday,9/1/2020,12,3,1,15,2,2,8,2,,,,,,,1,35,7,4
Wednesday,9/2/2020,10,4,1,14,2,2,6,4,,,,,,,1,30,10,4
Thursday,9/3/2020,7,0,2,13,0,1,7,3,,,,,,,1,27,3,4
Friday,9/4/2020,9,3,2,12,1,0,8,1,,,,,,,1,29,5,3
Saturday,9/5/2020,7,0,0,12,2,0,9,3,,,,,,,1,28,5,1
Sunday,9/6/2020,6,0,1,12,1,0,11,0,,,,,,,1,29,1,2
Monday,9/7/2020,12,7,0,10,2,,10,,,,,,,,1,32,9,1
Tuesday,9/8/2020,12,6,1,11,2,,13,3,,,,,10,0,1,46,11,2
Wednesday,9/9/2020,12,2,1,11,2,,11,0,0,,,,13,4,1,47,8,2
Thursday,9/10/2020,12,3,1,11,0,,11,1,0,,,,13,1,2,47,5,3
Friday,9/11/2020,12,2,0,13,3,,12,2,0,,,,12,4,1,49,11,1
Saturday,9/12/2020,12,5,0,7,1,,12,2,0,,,,10,0,1,41,8,1
Sunday,9/13/2020,10,0,0,11,4,,,,,,,,10,1,1,31,5,1
Monday,9/14/2020,9,0,0,11,,,,,,,,,12,2,0,32,2,0
Tuesday,9/15/2020,12,6,0,10,0,,12,2,0,,,,9,3,,43,11,0
Wednesday,9/16/2020,10,3,1,12,6,,13,1,1,,,,9,2,,44,12,2
Thursday,9/17/2020,12,5,1,12,4,,12,2,0,,,,11,3,,47,14,1
Friday,9/18/2020,12,1,1,9,0,2,13,2,0,,,,13,0,,47,3,3
Saturday,9/19/2020,9,0,0,14,7,1,12,0,0,,,,11,4,,46,11,1
Sunday,9/20/2020,9,1,0,11,0,1,13,1,0,,,,10,0,,43,2,1
Monday,9/21/2020,12,5,0,11,1,1,12,1,,,,,8,2,,43,9,1
Tuesday,9/22/2020,11,1,0,11,0,1,12,2,1,,,,12,3,1,46,6,3
Wednesday,9/23/2020,15,6,0,10,0,1,12,2,1,,,,12,1,1,49,9,3
Thursday,9/24/2020,12,3,0,11,4,1,12,2,1,,,,10,0,0,45,9,2
Friday,9/25/2020,13,3,0,11,0,1,12,3,2,,,,14,7,1,50,13,4
Saturday,9/26/2020,10,3,0,10,2,1,12,4,1,,,,11,1,1,43,10,3
Sunday,9/27/2020,11,2,1,14,2,,10,1,1,,,,12,4,1,47,9,3
Monday,9/28/2020,15,5,0,13,0,1,9,1,2,,,,12,1,1,49,7,4
Tuesday,9/29/2020,10,0,2,11,2,1,12,5,2,,,,11,0,0,44,7,5
Wednesday,9/30/2020,12,1,2,12,2,1,12,3,2,,,,16,6,0,52,12,5
Thursday,10/1/2020,16,3,2,12,2,1,14,5,0,,,,12,1,1,54,11,4
Friday,10/2/2020,16,2,1,16,4,1,13,3,0,,,,12,0,3,57,9,5
Saturday,10/3/2020,13,3,1,13,0,0,11,0,0,,,,15,1,3,52,4,4
Sunday,10/4/2020,12,4,,15,2,2,14,6,1,,,,16,4,4,57,16,7
Monday,10/5/2020,12,1,,15,1,2,12,2,1,,,,12,2,4,51,6,7
Tuesday,10/6/2020,16,6,0,14,1,1,12,1,3,,,,12,0,3,54,8,7
Wednesday,10/7/2020,12,1,0,16,3,1,12,5,3,,,,8,1,3,48,10,7
Thursday,10/8/2020,13,6,1,15,0,1,12,1,2,,,,12,3,3,52,10,7
Friday,10/9/2020,12,4,0,12,0,0,12,4,1,,,,12,2,2,48,10,3
Saturday,10/10/2020,11,3,0,12,5,0,10,3,0,,,,8,0,2,41,11,2
Sunday,10/11/2020,12,2,0,10,1,0,11,2,1,,,,12,4,1,45,9,2
Monday,10/12/2020,12,2,0,9,0,0,13,3,2,,,,12,1,1,46,6,3
Tuesday,10/13/2020,10,2,1,15,6,0,12,0,0,,,,13,3,1,50,11,2
Wednesday,10/14/2020,12,3,1,14,1,1,13,0,0,,,,11,2,0,50,6,2
Thursday,10/15/2020,11,1,1,10,4,1,12,4,0,,,,8,0,0,41,9,2
Friday,10/16/2020,12,5,4,8,0,1,8,0,0,,,,12,4,2,40,9,7
Saturday,10/17/2020,12,1,4,8,2,0,10,4,0,,,,11,5,1,41,12,5
Sunday,10/18/2020,11,4,1,11,4,0,10,0,0,,,,11,1,2,43,9,3
